# Force       
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.01          	(1.467916e+02 -2.105559e+02 2.105573e+02)	(1.462397e+02 -2.105413e+02 2.105434e+02)	(5.518828e-01 -1.450979e-02 1.392191e-02)
0.02          	(6.670970e+00 -1.245862e+00 1.249982e+00)	(6.135272e+00 -1.233521e+00 1.238028e+00)	(5.356980e-01 -1.234115e-02 1.195426e-02)
0.03          	(4.059779e+00 -1.093701e+00 1.103111e+00)	(3.541152e+00 -1.084036e+00 1.093585e+00)	(5.186269e-01 -9.665560e-03 9.526634e-03)
0.04          	(3.550816e+00 -1.017844e+00 1.027707e+00)	(3.047636e+00 -1.010472e+00 1.020304e+00)	(5.031803e-01 -7.371681e-03 7.402839e-03)
0.05          	(3.329536e+00 -9.787044e-01 9.905005e-01)	(2.840514e+00 -9.735860e-01 9.851505e-01)	(4.890212e-01 -5.118465e-03 5.349993e-03)
0.06          	(3.183284e+00 -9.437169e-01 9.573873e-01)	(2.707380e+00 -9.408033e-01 9.540107e-01)	(4.759041e-01 -2.913664e-03 3.376547e-03)
0.07          	(3.069877e+00 -9.113259e-01 9.267579e-01)	(2.606190e+00 -9.105630e-01 9.252734e-01)	(4.636870e-01 -7.628488e-04 1.484501e-03)
0.08          	(2.974747e+00 -8.807996e-01 8.979029e-01)	(2.522477e+00 -8.821304e-01 8.982299e-01)	(4.522703e-01 1.330780e-03 -3.270280e-04)
0.09          	(2.891527e+00 -8.517921e-01 8.704905e-01)	(2.449951e+00 -8.551574e-01 8.725506e-01)	(4.415757e-01 3.365362e-03 -2.060131e-03)
0.1           	(2.816973e+00 -8.240986e-01 8.443286e-01)	(2.385434e+00 -8.294386e-01 8.480460e-01)	(4.315387e-01 5.339937e-03 -3.717462e-03)
0.11          	(2.749201e+00 -7.975988e-01 8.193055e-01)	(2.327097e+00 -8.048530e-01 8.246075e-01)	(4.221040e-01 7.254215e-03 -5.301964e-03)
0.12          	(2.687001e+00 -7.721966e-01 7.953323e-01)	(2.273777e+00 -7.813050e-01 8.021490e-01)	(4.132238e-01 9.108413e-03 -6.816708e-03)
0.13          	(2.629532e+00 -7.478249e-01 7.723475e-01)	(2.224677e+00 -7.587281e-01 7.806123e-01)	(4.048558e-01 1.090318e-02 -8.264803e-03)
0.14          	(2.576166e+00 -7.244288e-01 7.502979e-01)	(2.179203e+00 -7.370683e-01 7.599473e-01)	(3.969624e-01 1.263946e-02 -9.649333e-03)
0.15          	(2.526423e+00 -7.019530e-01 7.291345e-01)	(2.136913e+00 -7.162714e-01 7.401078e-01)	(3.895098e-01 1.431844e-02 -1.097333e-02)
0.16          	(2.479918e+00 -6.803543e-01 7.088157e-01)	(2.097451e+00 -6.962957e-01 7.210555e-01)	(3.824674e-01 1.594148e-02 -1.223974e-02)
0.17          	(2.436336e+00 -6.595960e-01 6.893074e-01)	(2.060528e+00 -6.771061e-01 7.027588e-01)	(3.758075e-01 1.751010e-02 -1.345144e-02)
0.18          	(2.395399e+00 -6.396292e-01 6.705629e-01)	(2.025895e+00 -6.586550e-01 6.851740e-01)	(3.695045e-01 1.902589e-02 -1.461116e-02)
0.19          	(2.356880e+00 -6.204244e-01 6.525538e-01)	(1.993345e+00 -6.409150e-01 6.682753e-01)	(3.635353e-01 2.049053e-02 -1.572155e-02)
