# Moment      
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.01          	(-2.105563e+01 -1.353344e+01 1.144058e+00)	(-2.105418e+01 -1.344398e+01 1.178208e+00)	(-1.451126e-03 -8.945649e-02 -3.415017e-02)
0.02          	(-1.247789e-01 -7.579623e-01 -9.566161e-02)	(-1.235605e-01 -6.711978e-01 -6.234208e-02)	(-1.218384e-03 -8.676456e-02 -3.331953e-02)
0.03          	(-1.097964e-01 -4.685149e-01 -6.536847e-02)	(-1.088528e-01 -3.845860e-01 -3.297156e-02)	(-9.435333e-04 -8.392884e-02 -3.239690e-02)
0.04          	(-1.022454e-01 -4.066720e-01 -5.496099e-02)	(-1.015434e-01 -3.253144e-01 -2.341515e-02)	(-7.020639e-04 -8.135763e-02 -3.154584e-02)
0.05          	(-9.841744e-02 -3.795807e-01 -5.046434e-02)	(-9.795304e-02 -3.005823e-01 -1.970793e-02)	(-4.643939e-04 -7.899834e-02 -3.075641e-02)
0.06          	(-9.499720e-02 -3.619999e-01 -4.788365e-02)	(-9.476609e-02 -2.851879e-01 -1.786615e-02)	(-2.311035e-04 -7.681201e-02 -3.001751e-02)
0.07          	(-9.182763e-02 -3.485427e-01 -4.608748e-02)	(-9.182483e-02 -2.737671e-01 -1.676467e-02)	(-2.792790e-06 -7.477558e-02 -2.932282e-02)
0.08          	(-8.883711e-02 -3.373496e-01 -4.468582e-02)	(-8.905721e-02 -2.644769e-01 -1.601786e-02)	(2.200995e-04 -7.287267e-02 -2.866796e-02)
0.09          	(-8.599235e-02 -3.276153e-01 -4.351730e-02)	(-8.642962e-02 -2.565250e-01 -1.546782e-02)	(4.372610e-04 -7.109033e-02 -2.804949e-02)
0.1           	(-8.327397e-02 -3.189328e-01 -4.250420e-02)	(-8.392245e-02 -2.495150e-01 -1.503964e-02)	(6.484832e-04 -6.941781e-02 -2.746456e-02)
0.11          	(-8.067073e-02 -3.110674e-01 -4.160426e-02)	(-8.152438e-02 -2.432215e-01 -1.469354e-02)	(8.536414e-04 -6.784592e-02 -2.691072e-02)
0.12          	(-7.817372e-02 -3.038688e-01 -4.079210e-02)	(-7.922640e-02 -2.375022e-01 -1.440627e-02)	(1.052680e-03 -6.636665e-02 -2.638583e-02)
0.13          	(-7.577679e-02 -2.972334e-01 -4.005112e-02)	(-7.702240e-02 -2.322605e-01 -1.416314e-02)	(1.245607e-03 -6.497292e-02 -2.588799e-02)
0.14          	(-7.347483e-02 -2.910842e-01 -3.936977e-02)	(-7.490730e-02 -2.274258e-01 -1.395431e-02)	(1.432470e-03 -6.365843e-02 -2.541546e-02)
0.15          	(-7.126274e-02 -2.853627e-01 -3.873954e-02)	(-7.287610e-02 -2.229452e-01 -1.377285e-02)	(1.613360e-03 -6.241749e-02 -2.496669e-02)
0.16          	(-6.913647e-02 -2.800218e-01 -3.815386e-02)	(-7.092486e-02 -2.187768e-01 -1.361362e-02)	(1.788388e-03 -6.124497e-02 -2.454024e-02)
0.17          	(-6.709261e-02 -2.750231e-01 -3.760757e-02)	(-6.905029e-02 -2.148869e-01 -1.347278e-02)	(1.957687e-03 -6.013621e-02 -2.413479e-02)
0.18          	(-6.512644e-02 -2.703335e-01 -3.709649e-02)	(-6.724785e-02 -2.112466e-01 -1.334738e-02)	(2.121408e-03 -5.908694e-02 -2.374911e-02)
0.19          	(-6.323521e-02 -2.659256e-01 -3.661712e-02)	(-6.551493e-02 -2.078324e-01 -1.323505e-02)	(2.279715e-03 -5.809324e-02 -2.338208e-02)
0.2           	(-6.141566e-02 -2.617758e-01 -3.616648e-02)	(-6.384844e-02 -2.046242e-01 -1.313386e-02)	(2.432780e-03 -5.715153e-02 -2.303261e-02)
0.21          	(-5.966458e-02 -2.578627e-01 -3.574204e-02)	(-6.224535e-02 -2.016042e-01 -1.304231e-02)	(2.580776e-03 -5.625851e-02 -2.269973e-02)
0.22          	(-5.797907e-02 -2.541682e-01 -3.534160e-02)	(-6.070295e-02 -1.987570e-01 -1.295908e-02)	(2.723877e-03 -5.541110e-02 -2.238252e-02)
0.23          	(-5.635617e-02 -2.506753e-01 -3.496324e-02)	(-5.921843e-02 -1.960689e-01 -1.288314e-02)	(2.862260e-03 -5.460648e-02 -2.208009e-02)
0.24          	(-5.479315e-02 -2.473698e-01 -3.460524e-02)	(-5.778925e-02 -1.935278e-01 -1.281358e-02)	(2.996097e-03 -5.384201e-02 -2.179166e-02)
0.25          	(-5.328747e-02 -2.442380e-01 -3.426613e-02)	(-5.641304e-02 -1.911227e-01 -1.274969e-02)	(3.125563e-03 -5.311527e-02 -2.151645e-02)
0.26          	(-5.183660e-02 -2.412679e-01 -3.394455e-02)	(-5.508743e-02 -1.888439e-01 -1.269080e-02)	(3.250826e-03 -5.242399e-02 -2.125374e-02)
0.27          	(-5.043814e-02 -2.384487e-01 -3.363925e-02)	(-5.381020e-02 -1.866827e-01 -1.263637e-02)	(3.372053e-03 -5.176607e-02 -2.100288e-02)
0.28          	(-4.908993e-02 -2.357707e-01 -3.334912e-02)	(-5.257933e-02 -1.846312e-01 -1.258590e-02)	(3.489404e-03 -5.113955e-02 -2.076323e-02)
0.29          	(-4.778972e-02 -2.332243e-01 -3.307321e-02)	(-5.139275e-02 -1.826817e-01 -1.253902e-02)	(3.603036e-03 -5.054260e-02 -2.053419e-02)
0.3           	(-4.653544e-02 -2.308017e-01 -3.281054e-02)	(-5.024854e-02 -1.808282e-01 -1.249534e-02)	(3.713098e-03 -4.997352e-02 -2.031520e-02)
0.31          	(-4.532505e-02 -2.284948e-01 -3.256034e-02)	(-4.914479e-02 -1.790640e-01 -1.245459e-02)	(3.819734e-03 -4.943073e-02 -2.010575e-02)
0.32          	(-4.415677e-02 -2.262968e-01 -3.232178e-02)	(-4.807985e-02 -1.773841e-01 -1.241644e-02)	(3.923085e-03 -4.891275e-02 -1.990534e-02)
0.33          	(-4.302873e-02 -2.242011e-01 -3.209420e-02)	(-4.705200e-02 -1.757829e-01 -1.238070e-02)	(4.023279e-03 -4.841819e-02 -1.971350e-02)
0.34          	(-4.193916e-02 -2.222016e-01 -3.187692e-02)	(-4.605961e-02 -1.742559e-01 -1.234712e-02)	(4.120447e-03 -4.794576e-02 -1.952980e-02)
0.35          	(-4.088655e-02 -2.202930e-01 -3.166934e-02)	(-4.510126e-02 -1.727987e-01 -1.231552e-02)	(4.214712e-03 -4.749424e-02 -1.935381e-02)
0.36          	(-3.986913e-02 -2.184697e-01 -3.147091e-02)	(-4.417532e-02 -1.714072e-01 -1.228575e-02)	(4.306191e-03 -4.706252e-02 -1.918516e-02)
0.37          	(-3.888565e-02 -2.167274e-01 -3.128109e-02)	(-4.328065e-02 -1.700779e-01 -1.225762e-02)	(4.394998e-03 -4.664951e-02 -1.902348e-02)
0.38          	(-3.793451e-02 -2.150613e-01 -3.109943e-02)	(-4.241575e-02 -1.688070e-01 -1.223102e-02)	(4.481239e-03 -4.625424e-02 -1.886842e-02)
0.39          	(-3.701442e-02 -2.134672e-01 -3.092548e-02)	(-4.157944e-02 -1.675915e-01 -1.220583e-02)	(4.565015e-03 -4.587577e-02 -1.871965e-02)
0.4           	(-3.612405e-02 -2.119415e-01 -3.075881e-02)	(-4.077048e-02 -1.664283e-01 -1.218194e-02)	(4.646424e-03 -4.551323e-02 -1.857687e-02)
0.41          	(-3.526218e-02 -2.104803e-01 -3.059905e-02)	(-3.998775e-02 -1.653145e-01 -1.215926e-02)	(4.725561e-03 -4.516578e-02 -1.843978e-02)
0.42          	(-3.442769e-02 -2.090804e-01 -3.044582e-02)	(-3.923020e-02 -1.642477e-01 -1.213770e-02)	(4.802513e-03 -4.483268e-02 -1.830812e-02)
0.43          	(-3.361940e-02 -2.077386e-01 -3.029880e-02)	(-3.849677e-02 -1.632254e-01 -1.211718e-02)	(4.877366e-03 -4.451318e-02 -1.818162e-02)
0.44          	(-3.283624e-02 -2.064518e-01 -3.015769e-02)	(-3.778644e-02 -1.622452e-01 -1.209765e-02)	(4.950198e-03 -4.420662e-02 -1.806004e-02)
0.45          	(-3.207723e-02 -2.052174e-01 -3.002217e-02)	(-3.709831e-02 -1.613051e-01 -1.207903e-02)	(5.021086e-03 -4.391234e-02 -1.794314e-02)
0.46          	(-3.134131e-02 -2.040326e-01 -2.989199e-02)	(-3.643141e-02 -1.604029e-01 -1.206128e-02)	(5.090104e-03 -4.362975e-02 -1.783071e-02)
0.47          	(-3.062782e-02 -2.028953e-01 -2.976686e-02)	(-3.578514e-02 -1.595370e-01 -1.204432e-02)	(5.157322e-03 -4.335828e-02 -1.772254e-02)
